Rank,agrc,ccsq,entc,fgtv,frst,inen,ippu,lndu,lsmm,lvst,scoe,soil,trns,trww,waso
1,mcf_trww_treated_secondary_anaerobic,area_gnrl_country_ha,frac_scoe_heat_energy_residential_solid_biomass,genfactor_lvst_daily_nitrogen_cattle_dairy,ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_natural_gas,frac_waso_initial_composition_mun_plastic,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coal_deposits,frac_lvst_mm_buffalo_dry_lot,frac_scoe_heat_energy_other_se_solid_biomass,frac_inen_energy_metals_natural_gas,elasticity_agrc_bevs_and_spices_demand_to_income,scalar_inen_energy_demand_recycled_rubber_and_leather,consumpinit_inen_energy_tj_per_tonne_production_rubber_and_leather,consumpinit_inen_energy_tj_per_tonne_production_cement,frac_agrc_initial_area_cropland_fruits
2,frac_inen_energy_glass_coke,avgload_trns_freight_tonne_per_vehicle_aviation,genfactor_lvst_daily_nitrogen_cattle_dairy,elasticity_ippu_chemicals_production_to_gdp,ef_ippu_tonne_ch4_per_tonne_production_chemicals,frac_agrc_initial_area_cropland_sugar_cane,consumpinit_inen_energy_tj_per_tonne_production_glass,ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_gasoline,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coal,pop_lvst_initial_chickens,elecfuelefficiency_trns_rail_passenger_km_per_kwh,physparam_waso_k_paper,frac_agrc_combustion_factor_cereals,nemomod_entc_fixed_cost_pp_nuclear_mm_usd_per_gw,nemomod_entc_variable_cost_pp_biomass_usd_per_mwh
3,frac_inen_energy_cement_natural_gas,avgload_trns_freight_tonne_per_vehicle_rail_freight,frac_lsmm_n_loss_volatilisation_storage_solid,yf_agrc_pulses_tonne_ha,elasticity_waso_msw_to_gdppc_paper,frac_inen_energy_cement_natural_gas,consumpinit_inen_energy_tj_per_tonne_production_rubber_and_leather,ef_soil_ef1_n_synthetic_fertilizer_n2o_dry_climate,frac_wali_ww_domestic_rural_treatment_path_primary,vol_ippu_metals_m3_ww_per_tonne_production,mcf_lsmm_storage_solid,physparam_lvst_bo_mules_kg_ch4_kg_manure,ratio_soil_organic_matter_c_to_n,nemomod_entc_renewable_energy_tag_pp_wind,frac_frst_mangroves_cl1_temperate_nutrient_poor
4,ef_trww_treated_advanced_aerobic_g_n2o_per_g_n,avgload_trns_freight_tonne_per_vehicle_road_heavy_freight,frac_inen_energy_recycled_plastic_natural_gas,ratio_agrc_above_ground_residue_to_yield_tubers,consumpinit_inen_energy_tj_per_tonne_production_electronics,elasticity_protein_in_diet_to_gdppc,nemomod_entc_renewable_energy_tag_pp_hydropower,frac_agrc_initial_area_cropland_vegetables_and_vines,nemomod_enst_capital_cost_st_compressed_air_usd_per_kwh,qty_ippu_cement_tonne_cod_per_m3_ww,factor_lndu_soil_carbon_other,nemomod_entc_emissions_activity_ratio_scalar_pp_biomass_ch4,ef_ippu_tonne_n2o_per_tonne_production_chemicals,frac_enfu_fuel_demand_imported_pj_fuel_hydrocarbon_gas_liquids,mcf_trww_treated_secondary_anaerobic
5,frac_agrc_other_woody_perennial_cl2_wet,avgload_trns_freight_tonne_per_vehicle_water_borne,frac_lvst_mm_cattle_dairy_paddock_pasture_range,vol_ippu_lime_and_carbonite_m3_ww_per_tonne_production,energydensity_enfu_mj_per_litre_fuel_biomass,efficfactor_entc_technology_fuel_use_pp_geothermal,avgmass_lvst_animal_pigs_kg,frac_agrc_no_till_pulses,ef_trns_mobile_combustion_public_kg_n2o_per_tj_biofuels,elasticity_ippu_paper_production_to_gdp,frac_lvst_mm_buffalo_paddock_pasture_range,frac_inen_energy_plastic_oil,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas_unprocessed,yf_agrc_cereals_tonne_ha,frac_lsmm_n_loss_leaching_dry_lot
6,frac_inen_energy_recycled_rubber_and_leather_natural_gas,avgmass_lvst_animal_buffalo_kg,frac_agrc_vegetables_and_vines_cl1_tropical,prodinit_ippu_plastic_tonne,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_oil,frac_lndu_other_cl2_wet,frac_lvst_mm_sheep_solid_storage,factor_waso_waste_per_capita_scalar_sludge,frac_inen_energy_recycled_plastic_natural_gas,nemomod_entc_output_activity_ratio_fuel_production_me_coal_coal,frac_lvst_mm_buffalo_dry_lot,nemomod_entc_emissions_activity_ratio_scalar_pp_biomass_n2o,qty_lvst_daily_dry_matter_consumed_sheep_kg,frac_inen_energy_recycled_plastic_solid_biomass,scalar_inen_energy_demand_glass
7,ef_waso_incineration_tonne_n2o_per_tonne_metal,avgmass_lvst_animal_cattle_dairy_kg,frac_wali_ww_industrial_treatment_path_secondary_anaerobic,frac_lsmm_n_loss_volatilisation_anaerobic_digester,elasticity_agrc_fruits_demand_to_income,frac_inen_energy_electronics_furnace_gas,exports_agrc_vegetables_and_vines_tonne,yf_agrc_herbs_and_other_perennial_crops_tonne_ha,frac_inen_energy_lime_and_carbonite_coke,frac_inen_energy_recycled_plastic_oil,ef_waso_incineration_tonne_n2o_per_tonne_wood,ef_waso_incineration_tonne_n2o_per_tonne_other,frac_waso_non_recycled_open_dump,factor_lndu_soil_carbon_forests_mangroves,occrate_trns_passenger_per_vehicle_water_borne
8,frac_agrc_other_woody_perennial_cl2_dry,avgmass_lvst_animal_cattle_nondairy_kg,frac_lvst_livestock_demand_imported_cattle_dairy,frac_inen_energy_lime_and_carbonite_natural_gas,regressionb_agrc_above_ground_residue_rice_kg_per_ha,ef_trns_mobile_combustion_public_kg_ch4_per_tj_natural_gas,ef_lndu_conv_other_to_settlements_gg_co2_ha,mcf_trww_treated_latrine_improved,frac_wali_ww_industrial_treatment_path_untreated_no_sewerage,ef_lndu_conv_forests_mangroves_to_settlements_gg_co2_ha,ef_ippu_tonne_n2o_per_tonne_production_electronics,frac_agrc_initial_area_cropland_pulses,maxfrac_ippu_maximum_recylced_material_ratio_wood,demscalar_ippu_cement,frac_inen_energy_recycled_wood_oil
9,nemomod_enst_capital_cost_st_flywheels_usd_per_kwh,avgmass_lvst_animal_chickens_kg,efficfactor_enfu_industrial_energy_fuel_natural_gas,nemomod_entc_emissions_activity_ratio_scalar_pp_coal_ccs_ch4,ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_natural_gas,frac_waso_initial_composition_mun_wood,factor_lndu_soil_management_supremum_grasslands,nemomod_entc_fixed_cost_pp_waste_incineration_mm_usd_per_gw,nemomod_entc_input_activity_ratio_fuel_production_me_natural_gas_electricity,nemomod_entc_input_activity_ratio_fuel_production_fp_natural_gas_natural_gas_unprocessed,frac_inen_energy_recycled_wood_oil,frac_lvst_livestock_demand_imported_goats,genfactor_lvst_daily_nitrogen_cattle_dairy,nemomod_entc_emissions_activity_ratio_scalar_pp_hydropower_ch4,energydensity_enfu_mj_per_litre_fuel_diesel
10,ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_biofuels,avgmass_lvst_animal_goats_kg,ef_lvst_entferm_sheep_kg_ch4_head,genfactor_lvst_daily_volatile_solids_horses,elasticity_scoe_enerdem_per_hh_residential_elec_appliances_to_gdppc,vkmt_per_vehicle_waso,frac_agrc_nuts_cl1_tropical,frac_trns_fuelmix_road_light_gasoline,frac_frst_annual_wildfire_fraction_primary,frac_waso_compost_sludge,physparam_lvst_bo_goats_kg_ch4_kg_manure,ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_oil,frac_trww_n_removed_treated_advanced_aerobic,frac_agrc_initial_area_cropland_other_annual,frac_wali_ww_domestic_urban_treatment_path_advanced_aerobic
11,nemomod_entc_frac_min_share_production_pp_solar,avgmass_lvst_animal_horses_kg,frac_inen_energy_lime_and_carbonite_natural_gas,dem_ippu_average_materials_tonne_per_household_wood,frac_lsmm_n_loss_volatilisation_composting,frac_inen_energy_mining_natural_gas,nemomod_entc_input_activity_ratio_fuel_production_me_coal_coal_deposits,cost_enfu_fuel_coke_usd_per_tonne,nemomod_entc_renewable_energy_tag_pp_hydropower,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_refrigeration,ef_trns_mobile_combustion_water_borne_kg_ch4_per_tj_diesel,scalar_lndu_vegetarian_dietary_exchange,ef_waso_compost_kg_ch4_per_kg_food,efficfactor_entc_technology_fuel_use_pp_hydropower,ef_trns_mobile_combustion_road_heavy_regional_kg_n2o_per_tj_hydrocarbon_gas_liquids
12,ef_lndu_conv_forests_mangroves_to_settlements_gg_co2_ha,avgmass_lvst_animal_mules_kg,mcf_lsmm_anaerobic_digester,nemomod_entc_emissions_activity_ratio_scalar_pp_nuclear_ch4,frac_inen_energy_recycled_glass_diesel,frac_lvst_livestock_demand_imported_cattle_nondairy,elasticity_waso_msw_to_gdppc_glass,gasrf_ippu_co2_capture_metals,frac_lvst_mm_buffalo_daily_spread,ef_enfu_combustion_tonne_co2_per_tj_fuel_furnace_gas,nemomod_entc_input_activity_ratio_fuel_production_fp_ammonia_production_electricity,scalar_inen_energy_demand_plastic,ef_fgtv_production_venting_tonne_ch4_per_m3_fuel_oil,frac_lvst_mm_buffalo_dry_lot,ef_lndu_conv_grasslands_to_settlements_gg_co2_ha
13,energydensity_enfu_mj_per_litre_fuel_biogas,avgmass_lvst_animal_pigs_kg,elasticity_waso_msw_to_gdppc_other,frac_inen_energy_plastic_gasoline,efficfactor_entc_technology_fuel_use_pp_ocean,ef_trns_mobile_combustion_road_heavy_regional_kg_ch4_per_tj_biofuels,frac_inen_energy_recycled_plastic_solid_biomass,fuelefficiency_trns_road_heavy_freight_diesel_km_per_litre,genfactor_lvst_daily_volatile_solids_buffalo,nemomod_entc_capital_cost_pp_gas_mm_usd_per_gw,ef_waso_compost_kg_ch4_per_kg_sludge,elasticity_lvst_goats_demand_to_gdppc,prodinit_ippu_wood_tonne,ef_trww_untreated_with_sewerage_g_n2o_per_g_n,factor_lndu_soil_inputs_supremum_without_manure_croplands
14,nemomod_entc_emissions_activity_ratio_scalar_pp_biomass_n2o,avgmass_lvst_animal_sheep_kg,energydensity_gravimetric_enfu_gj_per_tonne_fuel_coke,frac_agrc_vegetables_and_vines_cl1_temperate,ef_trww_treated_septic_g_n2o_per_g_n,frac_inen_energy_recycled_textiles_electricity,frac_waso_initial_composition_mun_rubber_leather,pop_lvst_initial_horses,qty_waso_initial_municipal_waste_tonne_per_capita,ef_frst_forestfires_secondary_co2,nemomod_entc_emissions_activity_ratio_scalar_pp_gas_ch4,qty_ippu_recycled_textiles_tonne_cod_per_m3_ww,frac_waso_initial_composition_mun_paper,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_waste,demscalar_ippu_other_industries
15,avgmass_lvst_animal_chickens_kg,climate_change_factor_gnrl_hydropower_availability,frac_agrc_vegetables_and_vines_cl1_temperate,ef_lndu_conv_forests_secondary_to_grasslands_gg_co2_ha,efficfactor_scoe_heat_energy_other_se_solid_biomass,efficfactor_scoe_heat_energy_commercial_municipal_coal,frac_agrc_dry_matter_of_harvest_tubers,frac_trww_p_removed_treated_primary,elasticity_ippu_glass_production_to_gdp,fuelefficiency_trns_road_heavy_freight_diesel_km_per_litre,cost_enfu_fuel_oil_usd_per_m3,ef_ippu_tonne_ch2f2_per_tonne_production_electronics,frac_wali_ww_industrial_treatment_path_secondary_anaerobic,ef_trns_mobile_combustion_road_heavy_regional_kg_n2o_per_tj_diesel,ratio_agrc_below_ground_to_above_ground_biomass_pulses
16,physparam_krem_sludge_factor_treated_secondary_aerobic,consumpinit_inen_energy_tj_per_mmm_gdp_other_product_manufacturing,avgmass_lvst_animal_cattle_nondairy_kg,qty_soil_organic_c_stock_tropical_crop_grass_tonne_per_ha,regressionb_agrc_above_ground_residue_cereals_kg_per_ha,regressionb_agrc_above_ground_residue_pulses_kg_per_ha,nemomod_entc_input_activity_ratio_fuel_production_fp_petroleum_refinement_crude,efficfactor_entc_technology_fuel_use_pp_wind,ef_trns_mobile_combustion_road_light_kg_n2o_per_tj_diesel,ef_lvst_entferm_goats_kg_ch4_head,frac_inen_energy_recycled_wood_solid_biomass,efficfactor_enfu_industrial_energy_fuel_solar,ef_trns_mobile_combustion_road_heavy_regional_kg_n2o_per_tj_biofuels,avgmass_lvst_animal_cattle_nondairy_kg,nemomod_entc_emissions_activity_ratio_fuel_production_fp_hydrogen_reformation_tonne_co2_per_tj
17,efficfactor_enfu_industrial_energy_fuel_furnace_gas,consumpinit_inen_energy_tj_per_tonne_production_cement,frac_waso_initial_composition_mun_paper,frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,frac_inen_energy_textiles_electricity,energydensity_enfu_mj_per_litre_fuel_coke,nemomod_entc_input_activity_ratio_fuel_production_me_natural_gas_electricity,qtyinit_soil_liming_limestone_applied_to_soils_kt,nemomod_entc_emissions_activity_ratio_scalar_pp_coal_co2,frac_agrc_dry_matter_of_harvest_rice,fuelefficiency_trns_road_heavy_freight_diesel_km_per_litre,frac_inen_energy_plastic_coke,elasticity_agrc_cereals_demand_to_income,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas_unprocessed,demscalar_ippu_cement
18,mcf_trww_treated_advanced_aerobic,consumpinit_inen_energy_tj_per_tonne_production_chemicals,ef_lsmm_direct_management_storage_solid_n2o_per_n,frac_waso_initial_composition_mun_paper,cost_enfu_fuel_kerosene_usd_per_m3,elasticity_waso_msw_to_gdppc_metal,nemomod_entc_reserve_margin_tag_technology_pp_oil,energydensity_enfu_mj_per_litre_fuel_coke,ef_trww_treated_advanced_aerobic_g_n2o_per_g_n,physparam_waso_k_chemical_industrial,ef_trns_mobile_combustion_road_heavy_freight_kg_n2o_per_tj_gasoline,frac_enfu_fuel_demand_imported_pj_fuel_electricity,fuelefficiency_trns_public_hydrogen_km_per_litre,mcf_lsmm_dry_lot,ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration
19,mcf_lsmm_liquid_slurry,consumpinit_inen_energy_tj_per_tonne_production_electronics,frac_agrc_combustion_factor_cereals,frac_inen_energy_chemicals_electricity,elasticity_agrc_rice_demand_to_income,nemomod_entc_capital_cost_pp_geothermal_mm_usd_per_gw,exports_agrc_tubers_tonne,frac_inen_energy_lime_and_carbonite_natural_gas,frac_inen_energy_rubber_and_leather_electricity,frac_ccsq_heat_energy_direct_air_capture_natural_gas,qty_ippu_rubber_and_leather_tonne_cod_per_m3_ww,avgmass_lvst_animal_chickens_kg,fuelefficiency_trns_rail_freight_hydrogen_km_per_litre,frac_waso_initial_composition_mun_rubber_leather,scalar_inen_energy_demand_chemicals
20,elecfuelefficiency_trns_water_borne_km_per_kwh,consumpinit_inen_energy_tj_per_tonne_production_glass,vol_ippu_glass_m3_ww_per_tonne_production,elasticity_scoe_enerdem_per_hh_residential_elec_appliances_to_gdppc,nemomod_entc_frac_min_share_production_pp_hydropower,qty_soil_organic_c_stock_dry_climate_tonne_per_ha,frac_inen_energy_recycled_plastic_diesel,fuelefficiency_trns_rail_freight_hydrogen_km_per_litre,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_kerosene,frac_inen_energy_rubber_and_leather_electricity,fuelefficiency_trns_road_heavy_regional_biofuels_km_per_litre,ratio_agrc_above_ground_residue_to_yield_rice,frac_lvst_mm_mules_solid_storage,frac_inen_energy_recycled_metals_gasoline,gasrf_waso_landfill_to_ch4
